,course_1,course_2,course_3,course_4,user
0,Mechanical Behavior of Materials: Linear Elastic Behavior,"Light, Spike, and Sight: The Neuroscience of Vision","Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids","Symmetry, Structure and Tensor Properties of Materials",0
1,Mechanics Review,Discrete-Time Signal Processing,Electronic Materials and Devices,Atomic and Optical Physics: Coherence,1
2,"Cellular Solids: Structures, Properties and Engineering Applications","Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids","Cellular Solids: Structures, Properties and Engineering Applications",Advanced Introductory Classical Mechanics,2
3,"Light, Spike, and Sight: The Neuroscience of Vision",Calculus: Differentiation,Mechanics Review,"Circuits and Electronics: Amplification, Speed, and Delay",3
4,Classical Mechanics,Mastering Quantum Mechanics: Wave Mechanics,Magnetic Materials and Devices,Molecular Biology: DNA Replication and Repair,4
5,Molecular Biology: Transcription and Transposition,Mechanics ReView,Principles of Synthetic Biology,Advanced Introductory Classical Mechanics,5
6,Introduction to Aerodynamics,Introduction to Probability: The Science of Uncertainty,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Mechanical Behavior of Materials,6
7,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,Flight Vehicle Aerodynamics,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,7
8,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Effective Field Theory,Circuits and Electronics: Applications,Global Warming Science,8
9,Calculus: Integration,Circuits and Electronics: Applications,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Mechanics ReView,9
10,Circuits and Electronics: Applications,Elements of Structures,Molecular Biology: DNA Replication and Repair,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,10
11,Mastering Quantum Mechanics: Quantum Dynamics,Atomic and Optical Physics: Atomic structure and atoms in external field,Calculus: Integration,AnatomyX: Musculoskeletal Cases,11
12,Global Warming Science,Electronic Materials and Devices,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Classical Mechanics,12
13,Cell Biology: Mitochondria,Circuits and Electronics: Applications,Flight Vehicle Aerodynamics,Molecular Biology: DNA Replication and Repair,13
14,Cell Biology: Mitochondria,Street Fighting Math,"Circuits and Electronics: Amplification, Speed, and Delay",Mechanical Behavior of Materials: Linear Elastic Behavior,14
15,Atomic and Optical Physics: Atomic structure and atoms in external field,Mastering Quantum Mechanics: Quantum Dynamics,Atomic and Optical Physics: Atomic structure and atoms in external field,Molecular Biology: Transcription and Transposition,15
