,Course Title
0,Circuits and Electronics
2,Introduction to Solid State Chemistry
6,Introduction to Solid State Chemistry
8,Electricity and Magnetism
10,Circuits and Electronics
11,Introduction to Biology: Secret of Life
13,Elements of Structures
15,Mechanics ReView
16,Introduction to Solid State Chemistry
18,Classical Mechanics
19,Introduction to Biology: Secret of Life
24,Science and Cooking: From Haute Cuisine to Soft Matter Science
26,Circuits and Electronics
28,Dynamics and Control I
38,Introduction to Probability: The Science of Uncertainty
40,Global Warming Science
44,Flight Vehicle Aerodynamics
55,Street Fighting Math
58,Introduction to Solid State Chemistry
60,Mechanics Review
62,Elements of Structures
64,Quantitative Biology Workshop
65,Introduction to Biology: Secret of Life
66,Introduction to Biology: Secret of Life
68,Circuits and Electronics
72,Mechanical Behavior of Materials
73,Introduction to Solid State Chemistry
80,Effective Field Theory
82,AnatomyX: Musculoskeletal Cases
86,Underactuated Robotics
97,"Light, Spike, and Sight: The Neuroscience of Vision"
106,Advanced Introductory Classical Mechanics
109,Quantitative Biology Workshop
112,Circuits and Electronics
115,Introduction to Probability: The Science of Uncertainty
116,Discrete-Time Signal Processing
118,Super-Earths and Life
119,"Symmetry, Structure and Tensor Properties of Materials"
120,Mastering Quantum Mechanics
124,Introduction to Solid State Chemistry
128,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight
131,Molecular Biology: DNA Replication and Repair
138,"Electrical, Optical and Magnetic Materials and Devices"
148,Advanced Introductory Classical Mechanics
150,Calculus: Differentiation
154,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work
155,Principles of Biochemistry
156,Science and Cooking: From Haute Cuisine to Soft Matter Science
159,Molecular Biology: DNA Replication and Repair
164,Introduction to Solid State Chemistry
165,Mechanical Behavior of Materials: Linear Elastic Behavior
178,Atomic and Optical Physics: Resonance
180,Introduction to Aerodynamics
181,Circuits and Electronics: Basic Circuit Analysis
182,"Circuits and Electronics: Amplification, Speed, and Delay"
183,Circuits and Electronics: Applications
190,Underactuated Robotics
191,Principles of Synthetic Biology
193,Super-Earths and Life
194,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids"
196,Atomic and Optical Physics: Atomic structure and atoms in external field
204,Molecular Biology: Transcription and Transposition
211,Mechanical Behavior of Materials: Time Dependent Behavior and Failure
214,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field
217,Calculus: Integration
219,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions
222,Introduction to Feedback Control Theory
224,Advanced Introductory Classical Mechanics
227,Atomic and Optical Physics: Coherence
232,"Cellular Solids: Structures, Properties and Engineering Applications"
235,Introduction to Probability: The Science of Uncertainty
236,Flight Vehicle Aerodynamics
240,Global Warming Science
241,Mastering Quantum Mechanics: Wave Mechanics
249,Mastering Quantum Mechanics: Quantum Dynamics
252,Calculus: Coordinate Systems and Infinite Series
253,Quantitative Biology Workshop
256,Cellular Solids: Applications in Medicine
263,Mastering Quantum Mechanics: Entanglement and Angular Momentum
268,Cellular Solids: Applications in Nature
271,Cell Biology: Mitochondria
272,Electronic Materials and Devices
274,Molecular Biology: DNA Replication and Repair
276,Energy Within Environmental Constraints
278,Elements of Structures
280,Circuits and Electronics: Basic Circuit Analysis
281,"Circuits and Electronics: Amplification, Speed, and Delay"
282,Optical Materials and Devices
287,Introduction to Control System Design
288,Introduction to State Space Control
289,Magnetic Materials and Devices
